FIPS,County,County Value
,Illinois,50%
17001,Adams,51%
17003,Alexander,100%
17005,Bond,47%
17007,Boone,53%
17009,Brown,41%
17011,Bureau,51%
17013,Calhoun,42%
17015,Carroll,45%
17017,Cass,68%
17019,Champaign,51%
17021,Christian,53%
17023,Clark,57%
17025,Clay,49%
17027,Clinton,36%
17029,Coles,51%
17031,Cook,65%
17033,Crawford,46%
17035,Cumberland,48%
17037,De Witt,47%
17039,DeKalb,41%
17041,Douglas,38%
17043,DuPage,27%
17045,Edgar,44%
17047,Edwards,35%
17049,Effingham,35%
17051,Fayette,55%
17053,Ford,41%
17055,Franklin,55%
17057,Fulton,50%
17059,Gallatin,63%
17061,Greene,49%
17063,Grundy,23%
17065,Hamilton,47%
17067,Hancock,48%
17069,Hardin,55%
17071,Henderson,58%
17073,Henry,38%
17075,Iroquois,49%
17077,Jackson,66%
17079,Jasper,38%
17081,Jefferson,59%
17083,Jersey,47%
17085,Jo Daviess,36%
17087,Johnson,47%
17089,Kane,43%
17091,Kankakee,52%
17093,Kendall,25%
17095,Knox,56%
17097,Lake,29%
17099,LaSalle,49%
17101,Lawrence,55%
17103,Lee,46%
17105,Livingston,44%
17107,Logan,45%
17109,Macon,53%
17111,Macoupin,48%
17113,Madison,44%
17115,Marion,66%
17117,Marshall,46%
17119,Mason,51%
17121,Massac,62%
17123,McDonough,49%
17125,McHenry,28%
17127,McLean,35%
17129,Menard,32%
17131,Mercer,42%
17133,Monroe,19%
17135,Montgomery,51%
17137,Morgan,62%
17139,Moultrie,43%
17141,Ogle,37%
17143,Peoria,48%
17145,Perry,49%
17147,Piatt,31%
17149,Pike,54%
17151,Pope,52%
17153,Pulaski,82%
17155,Putnam,35%
17157,Randolph,48%
17159,Richland,53%
17161,Rock Island,53%
17163,Saline,59%
17165,Sangamon,40%
17167,Schuyler,46%
17169,Scott,44%
17171,Shelby,44%
17173,St. Clair,52%
17175,Stark,38%
17177,Stephenson,53%
17179,Tazewell,38%
17181,Union,64%
17183,Vermilion,65%
17185,Wabash,48%
17187,Warren,66%
17189,Washington,38%
17191,Wayne,50%
17193,White,51%
17195,Whiteside,49%
17197,Will,36%
17199,Williamson,52%
17201,Winnebago,50%
17203,Woodford,26%
